a1	阿啊呵腌吖錒
a2	啊呵嗄
a3	啊
a4	啊呵
a5	阿啊呵
ai1	哀挨埃唉哎捱鎄誒
ai2	挨癌皚呆捱矮
ai3	矮藹哎靄噯
ai4	愛礙艾唉哎隘曖噯璦嗌嬡砹
an1	安諳鞍氨庵桉鵪
an3	俺銨揞垵
an4	案按暗岸黯胺犴
ang1	骯
ang2	昂
ang4	盎
ao1	凹熬
ao2	熬敖囂嗷鏖鰲翺獒聱螯廒遨
ao3	襖拗媼
ao4	奧澳傲懊坳拗驁嶴鏊
ba1	八巴吧叭芭扒疤笆粑岜
ba2	拔跋八茇菝魃
ba3	把靶鈀
ba4	爸罷霸壩把耙灞鮁壩
ba5	吧罷叭
bai1	掰
bai2	白百
bai3	百擺伯柏佰捭
bai4	敗拜唄稗
ban1	般班搬斑頒扳瘢癍
ban3	版板阪阪鈑舨
ban4	辦半伴扮瓣拌絆
bang1	幫邦浜梆
bang3	膀榜綁
bang4	棒膀傍磅謗鎊蚌蒡
bao1	包胞炮剝褒苞孢煲齙
bao2	薄雹保
bao3	保寶飽堡葆褓鴇
bao4	報暴抱爆鮑曝刨瀑豹趵
bei1	背悲杯碑卑陂埤萆鵯
bei3	北
bei4	被備背輩倍貝蓓憊悖狽焙邶鋇孛碚褙鐾韝
bei5	臂唄
ben1	奔賁錛
ben3	本苯畚
ben4	奔笨夯坌
beng1	崩繃嘣
beng2	甭
beng3	繃
beng4	繃蹦迸甏泵蚌
bi1	筆
bi2	筆
bi3	筆
bi4	筆
bian1	編邊鞭砭
bian3	貶扁匾碥褊
bian4	便變遍辯辨辮卞芐汴忭弁緶
bian5	邊
biao1	標彪鏢膘驃鑣杓飈颮飆瘭髟
biao3	表裱婊
biao4	鰾
bie1	憋癟鱉
bie2	別蹩
bie3	癟
bie4	別
bin1	賓濱彬斌繽瀕檳儐玢豳鑌
bin4	鬢殯擯臏髕
bing1	兵冰並檳
bing3	筆
bing4	並病摒
bo1	波播撥剝玻餑菠缽趵鮁
bo2	博伯勃薄泊柏駁魄脖搏膊舶礴帛鉑箔渤鈸孛亳鵓踣餑
bo3	簸跛
bo4	薄柏簸擘檗
bo5	卜啵膊
bu1	逋晡鈽
bu2	不醭補
bu3	補捕堡卜哺卟
bu4	不部布步怖簿埔埠瓿鈈
ca1	擦拆嚓
ca3	礤
cai1	猜
cai2	才財材裁
cai3	采彩踩睬
cai4	采菜蔡
can1	參餐驂
can2	殘慚蠶
can3	慘黲
can4	燦摻璨孱粲
cang1	蒼倉滄艙傖
cang2	藏
cao1	操糙
cao2	曹槽嘈漕螬艚草
cao3	草
ce4	策測側廁冊惻
cen1	參
cen2	岑涔
ceng1	噌
ceng2	曾層
ceng4	蹭
cha1	差插叉碴喳嚓杈餷鍤
cha2	查察茶叉茬碴楂猹搽槎檫
cha3	叉衩鑔
cha4	差剎叉詫岔衩杈汊姹
chai1	差拆釵
chai2	柴豺儕
chai4	蠆瘥
chan1	攙摻覘
chan2	纏禪蟬饞潺蟾嬋讒廛孱鐔澶躔產單
chan3	產鏟闡諂囅蕆驏
chan4	顫懺羼
chang1	昌娼猖倀閶菖鯧
chang2	長場常嘗腸償倘裳嫦徜萇廠
chang3	場廠敞氅昶惝
chang4	唱暢倡悵鬯
chao1	超抄吵鈔綽剿焯怊
chao2	朝潮嘲巢晁
chao3	炒吵
chao4	耖
che1	車硨
che3	扯
che4	徹撤澈掣坼轍
chen1	郴琛嗔抻
chen2	陳沈晨沈塵臣辰橙忱諶宸陳
chen3	磣
chen4	稱趁襯讖櫬齔
chen5	傖
cheng1	稱撐秤瞠噌鐺檉蟶
cheng2	成城程承誠盛乘呈懲澄橙丞埕棖塍鋮裎酲
cheng3	逞騁裎
cheng4	稱秤
chi1	吃癡哧嗤蚩笞鴟媸螭眵魑
chi2	持遲池馳匙弛踟墀茌篪坻
chi3	尺齒恥侈褫豉
chi4	赤斥翅啻熾敕叱飭傺彳瘛眙
chong1	沖充湧憧忡艟舂茺衝
chong2	重崇蟲
chong3	寵
chong4	沖銃
chou1	抽瘳
chou2	愁仇籌酬綢躊惆疇稠幬儔讎
chou3	醜瞅
chou4	臭
chu1	出初樗
chu2	除廚躇櫥雛鋤蜍芻滁躕處
chu3	組
chu4	組
chuai1	揣搋
chuai3	揣
chuai4	揣啜踹嘬膪
chuan1	穿川巛氚
chuan2	傳船遄椽舡
chuan3	喘舛
chuan4	串釧
chuang1	創窗瘡
chuang2	床幢
chuang3	闖
chuang4	創愴
chui1	吹炊
chui2	垂錘捶陲椎槌棰
chun1	春椿蝽
chun2	純唇醇淳鶉蒓
chun3	蠢
chuo1	戳踔
chuo4	綽啜輟齪
ci1	差刺疵呲
ci2	詞辭慈磁瓷茲茨雌祠茈鶿糍
ci3	此
ci4	次刺賜伺蠔
cong1	匆聰蔥囪蓯驄璁樅
cong2	從叢琮淙
cou4	湊輳腠
cu1	粗
cu2	徂殂
cu4	促簇醋卒猝蹴蹙蔟酢
cuan1	躥攛汆鑹
cuan2	攢
cuan4	竄篡爨
cui1	衰催摧崔隹榱
cui3	璀
cui4	脆粹萃翠瘁悴淬毳啐
cun1	村皴
cun2	存蹲
cun3	忖
cun4	寸
cuo1	搓撮磋蹉
cuo2	嵯矬痤瘥鹺
cuo3	脞
cuo4	錯措挫厝銼
da1	答搭嗒耷褡噠
da2	打達答瘩沓韃怛笪靼妲
da3	打
da4	大
da5	塔疸瘩
dai1	待呆呔
dai3	逮歹傣
dai4	大代帶待戴袋貸逮殆黛怠玳岱迨駘紿埭甙帶
dan1	單擔丹耽眈殫簞儋癉聃鄲
dan3	擔膽撣賧疸
dan4	但擔石彈淡旦蛋誕憚啖澹氮萏癉
dang1	當襠鐺當
dang3	黨擋讜檔
dang4	當蕩檔擋宕菪氹碭
dao1	刀叨忉氘
dao2	叨導
dao3	導倒島蹈搗禱
dao4	到道倒悼盜稻
de2	得德鍀嘚
de4	嘚
de5	的地得
dei3	得
deng1	登燈蹬噔簦
deng3	等戥
deng4	鄧凳瞪澄蹬磴鐙嶝
di1	提低滴堤嘀氐鏑羝
di2	敵笛的迪滌嘀狄嫡翟荻糴覿鏑
di3	底抵詆邸砥坻柢氐骶
di4	第
di5	弟
dia3	嗲
dian1	顛滇掂癲巔
dian3	點典碘踮丶點
dian4	電店甸澱墊殿奠惦佃玷簟坫靛鈿癜阽
diao1	雕刁雕叼貂碉鯛
diao3	鳥屌
diao4	調掉吊釣銚銱調
die1	爹跌
die2	疊叠碟諜蝶喋佚牒耋蹀堞瓞揲垤鰈
ding1	丁盯釘叮町酊疔仃耵玎
ding3	頂鼎酊
ding4	定訂釘鋌腚錠碇啶
diu1	丟銩丟
dong1	東冬咚崠氡鶇
dong3	懂董
dong4	動洞凍棟恫侗垌峒腖胴硐動
dou1	都兜蔸篼
dou3	鬥抖陡蚪
dou4	讀鬥豆逗竇痘
du1	都督嘟
du2	讀獨頓毒瀆牘犢黷髑櫝
du3	肚睹堵賭篤
du4	度渡肚杜妒鍍芏蠹
duan1	端
duan3	短
duan4	斷段鍛緞煆椴籪
dui1	堆
dui4	對隊兌敦碓憝懟鐓對
dun1	噸敦蹲墩礅鐓
dun3	盹躉
dun4	頓盾鈍燉遁沌囤砘
duo1	多咄哆掇裰
duo2	度奪踱鐸掇
duo3	朵躲垛哚綞
duo4	舵墮跺剁惰垛馱柁
e1	阿婀屙
e2	額俄哦鵝娥峨蛾訛莪鋨
e3	惡
e4	惡餓扼愕遏噩呃厄鄂軛顎鱷諤鍔萼腭堊鶚苊閼惡
e5	呃
ei2	誒
ei3	誒
ei4	誒
en1	恩蒽
en4	摁嗯
er2	而兒鴯鮞耳
er3	爾耳邇餌洱珥鉺
er4	二佴
fa1	發
fa2	罰乏伐閥筏垡
fa3	法砝
fa4	發琺
fan1	翻番帆藩幡蕃
fan2	凡煩繁樊蕃燔礬蘩釩蹯
fan3	反返
fan4	飯犯範販泛梵畈飯
fang1	方芳妨坊邡枋鈁
fang2	房防妨坊肪魴
fang3	訪仿紡仿舫紡
fang4	放
fang5	坊
fei1	非飛啡菲扉霏妃緋蜚鯡
fei2	肥腓淝
fei3	菲匪誹斐蜚翡悱篚榧
fei4	費廢沸肺吠痱狒鐨芾砩
fen1	分紛氛芬吩酚玢
fen2	墳焚汾棼鼢
fen3	粉
fen4	分份奮憤糞忿僨瀵鱝
feng1	風封豐峰瘋鋒蜂楓烽酆葑灃碸鋒
feng2	逢縫馮
feng3	諷唪
feng4	奉縫鳳俸葑鳳
fo2	佛
fou3	否缶
fu1	夫膚敷孵呋稃麩趺跗
fu2	夫服福佛幅伏符浮扶弗拂袱俘芙孚匐輻涪氟桴蜉苻茯莩菔襆怫艴郛紱紼鳧祓砩黻罘稃蚨芾蝠
fu3	府父腐撫輔甫俯斧脯釜腑拊滏黼符莆
fu4	服覆父負副富付婦附赴腹覆賦傅縛咐阜訃駙賻馥蝮鮒鰒負
fu5	咐服袱夫腐覆
ga1	咖嘎胳伽旮
ga2	嘎噶軋尜釓
